Stance,Q1_B1,Q1_B2,Q1_B3,Q9,Age,Gender,PostalCode
Strongly Opposed,Do not want to promote irresponsible gambling for local community and think casino's increase income inequality,Do not want to promote Toronto as a city based on irresponsible gambling - risk City becomes reliant on casino income and short term financial benefits rather than long term negative social impact,"Do not think the City of Toronto will manage the casino and potential impact properly, any benefits will be lost to managing company of the casino",T,25-34,Male,
Strongly in Favour,Economic Development,Jobs,Arts and Culture,F,35-44,Female,M5H
Strongly in Favour,There are allready a number of close by casinos,If toronto is not selected then another close by municipality will get one,,F,55-64,Male,m6s
Somewhat Opposed,believe casino will decrease quality of life,money not worth the bad reputation that casino brings,"evidence from other cities (Thunder Bay, Windsor) suggests it does more harm than good to a city",T,25-34,Male,M5R
Neutral or Mixed Feelings,Like the employment opportunities it will bring,"Concerned about it being tacky, or an eye-sore in the city",,F,25-34,Female,M6N
Strongly Opposed,"have experience with the addictions problems related to gambling..the drug use, suicides through my work as a social worker and spiritual care professional",,,T,45-54,Female,m6p
Strongly Opposed,"The only winner is the house, the resulting social impact in Toronto will be enormous.  Is Toronto ready for that and increased social assistance, will they increase funding to social agencies?","People should see it as entertainment, but almost nobody does.  I have seen people lose their house and have to rent because they couldn't stop",We shouldn't be trying to bankroll our services from gambling,T,55-64,Female,M9N
Strongly Opposed,It will cause more traffic congestion.,Morally against it,,F,45-54,Female,M4L
Strongly Opposed,It's horrible for the community.,traffic,health impact,F,35-44,Male,M4G
Strongly in Favour,Toronto needs a casino,Avoids having to travel to Niagara & Orillia,Provides Top Entertainment & Cuisine,F,65 or older,Male,M4R
Strongly in Favour,provides more jobs,could bring the city more revenue,could help make city bigger/stronger,F,25-34,Male,L6S
Strongly in Favour,Should help tourism,"Compulsive gamblers will find a way to gamble, no matter where it is",,F,45-54,Female,M8V
Somewhat in Favour,economic benefits,keep us competitive with other cities that have cansinos,,F,55-64,Female,M6G
Strongly Opposed,The revenue will be less than promised,It will create more traffic which we can't handle,It will be a blight as casinos are in other jurisdictions,T,45-54,Male,M5V
Strongly in Favour,Tourism,Financial benefit to city,More diversity of activities,F,35-44,Male,M5J
Neutral or Mixed Feelings,depends on location,probably not someone who would attend/visit anyway,,F,55-64,Female,M4C
Strongly in Favour,economic benefits to the city,well paying jobs,increase in tourism,F,55-64,Male,m5c
Strongly Opposed,I do not want a Casino in Toronto,It will have a negative impact on our community,Would rather see revenue generated from taxes and user fees,F,45-54,Female,M4M
Strongly Opposed,"limited benefits, most of which will come from robbing existing rural casino operations.","City usually gets taken to the cleaners on these sorts of deals, rarely holds developers to theiroriginal agreements, and allows detrimental changes under threats from developers to 'walk'.","Casino is being held out as ythe pot of gold by politicians who seem to think services can be provided without having to pay for them, i.e. afraid of realistic property taxes.",F,,,
Strongly in Favour,Keep other city run programs open,Raise money for the municipality to open community centres and sponsor other iniciatives,People are going somewhere else to gamble an spend Toronto money there. Keep our money here,F,25-34,Male,M4E
Strongly in Favour,Revenue for the city,Landmark destination in Toronto,job creation,F,25-34,Female,M5R
Strongly in Favour,"provides economic growth, job opportunities",,,F,65 or older,Female,M4C
Strongly Opposed,a tax grab from the poor and desperate,vulgar attraction that will draw mostly car drivers,tacky - leave them for Vegas and Niagara,T,45-54,Male,M4L
Strongly in Favour,increased employment,increased city revenue,Making toronto a world class city,F,55-64,Male,m4k
Strongly in Favour,,,,F,35-44,Female,m4l
Strongly Opposed,I do not want my City defined by a Casino,I do not accept that it will represent meaningful cash flow to the City,The Provincial government should not be in the business of gaming - should regulate but not be a participant,F,45-54,Male,M4V
Strongly Opposed,Downtown congestion,Toronto infrastructure is already strained,Encourages gambling addiction and organized crime,T,55-64,Female,M4M
Strongly in Favour,tax money for the city,keep the gambling money in the city,attract more tourists,F,65 or older,Male,m4m
Strongly Opposed,Casinos are a regressive tax on the poor,A new casino will adversely affect independent businesses in Toronto,Casinos produce dead urban areas surrounding the casino.,T,25-34,Male,M6H
Strongly Opposed,Debt will become a greater issue for Toronto residents who somewhat may not be able to manage themselves when entering a casino,There are many other ways to bring in revenue to the city and opening a casino does not seem fitting. Why rely on that one development when there could be many more other developments that will help and benefit all citizens of Toronto,"Socialism is set up to be able to help and give opportunities to citizens, but with the construction of a casino, what kind of opportunities will it offer? Opportunities to be in even further debt. People will only try to play with fate at that point and one way or another, people will come out very disappointed than when they came in.",T,15-24,Prefer not to disclose,M1S
Somewhat in Favour,Tourism potential,Opportunity to develop brownfields/unattractive/outdated areas of the downtown,,F,25-34,Male,m4m
Strongly Opposed,increased addiction problems with gambling addicts,crime,* will be the ones who benefit from this so NO,T,45-54,Male,M4M
Strongly Opposed,I don't believe gambling should be taken away from the racetracks - it's fine where it is,We don't need any more organized crime,We already have too many poor people who will throw their money away gambling,T,Prefer not to disclose,Female,M4J
Strongly Opposed,"cleanliness & environment, noise",type of people casino's attract,"our downtown core is hustling and bustling, i appreciate toronto's latest push to provide the people an environment in the waterfront area to connect with nature and get away from the concrete jungle.",F,35-44,Female,m4m
Strongly Opposed,strong disbelief that such a plan would provide economic benefit to city,public health concerns re dependence on gambling,"trying to stop governmental habit of being ""addicted"" to gambling revenues as a ""new"" source of funds",T,45-54,Female,M4K
Strongly Opposed,Enough gambling options around Toronto,Promote gambling addictions,Make surrounding areas seedier,T,25-34,Male,M5J
Strongly Opposed,"I believe that casinos are destructive to the fibre of individuals, and the fabric of families, cities, and communities. There is ample evidence of this throughout the world.",,,T,55-64,Male,M5E
Strongly Opposed,social impact outweighs financial benefit,"it is a lazy, unimaginative way to resolve city fiscal challenges",municipal governments become dependent on gambling to fund core functions; gambling begets the need for more gambling.,T,45-54,Male,M4K
Strongly in Favour,"Provides new revenue streams for the City, which it needs;",Provides new employment opportunities which it also needs; and,"Adds a new dimension to what City has to offer to its residents and visitors, who currently go to other parts of the province, country to enjoy, why not have it here and reap the benefits?",F,45-54,Male,m5v
Strongly Opposed,The city cannot afford it.,It is not a guarantee of money being made... and it is a short term solution.,"Does not address gambling problems, effectively.",T,45-54,Male,M4M
Strongly Opposed,Not attracting the right type of consumer.,Don't like the message it sends as to what kind of city Toronto is.  Are the great cities known for casinos? NO.,,T,Prefer not to disclose,Prefer not to disclose,M5V
Strongly Opposed,,,,T,55-64,Male,M1R
Strongly Opposed,I'm concerned about the socio-economic and public health effects of gambling.,I think it's a lazy attempt at economic development.,I feel (and hope) that Toronto can do much better than building a casino.,T,25-34,Male,M4Y
Strongly Opposed,families get destroyed because of gambling addictions,we can really focus on using all that money for health care or schools or getting all the recent graduates jobs,"its just not a good idea, mentally, emotionally, and physically on a human",T,15-24,Female,M4L
