Sentiment,Strength,Conditions,Comment,Age,Gender,Postal Code
Opposed,Strongly Opposed,T,"Do not want to promote irresponsible gambling for local community and think casino's increase income inequality Do not want to promote Toronto as a city based on irresponsible gambling - risk City becomes reliant on casino income and short term financial benefits rather than long term negative social impact Do not think the City of Toronto will manage the casino and potential impact properly, any benefits will be lost to managing company of the casino",25-34,Male,
Favour,Strongly in Favour,F,Economic Development Jobs Arts and Culture,35-44,Female,M5H
Favour,Strongly in Favour,F,There are allready a number of close by casinos If toronto is not selected then another close by municipality will get one ,55-64,Male,m6s
Opposed,Somewhat Opposed,T,"believe casino will decrease quality of life money not worth the bad reputation that casino brings evidence from other cities (Thunder Bay, Windsor) suggests it does more harm than good to a city",25-34,Male,M5R
Neutral,Neutral or Mixed Feelings,F,"Like the employment opportunities it will bring Concerned about it being tacky, or an eye-sore in the city ",25-34,Female,M6N
Opposed,Strongly Opposed,T,"have experience with the addictions problems related to gambling..the drug use, suicides through my work as a social worker and spiritual care professional  ",45-54,Female,m6p
Opposed,Strongly Opposed,T,"The only winner is the house, the resulting social impact in Toronto will be enormous.  Is Toronto ready for that and increased social assistance, will they increase funding to social agencies? People should see it as entertainment, but almost nobody does.  I have seen people lose their house and have to rent because they couldn't stop We shouldn't be trying to bankroll our services from gambling",55-64,Female,M9N
Opposed,Strongly Opposed,F,It will cause more traffic congestion. Morally against it ,45-54,Female,M4L
Opposed,Strongly Opposed,F,It's horrible for the community. traffic health impact,35-44,Male,M4G
Favour,Strongly in Favour,F,Toronto needs a casino Avoids having to travel to Niagara & Orillia Provides Top Entertainment & Cuisine,65 or older,Male,M4R
Favour,Strongly in Favour,F,provides more jobs could bring the city more revenue could help make city bigger/stronger,25-34,Male,L6S
Favour,Strongly in Favour,F,"Should help tourism Compulsive gamblers will find a way to gamble, no matter where it is ",45-54,Female,M8V
Favour,Somewhat in Favour,F,economic benefits keep us competitive with other cities that have cansinos ,55-64,Female,M6G
Opposed,Strongly Opposed,T,The revenue will be less than promised It will create more traffic which we can't handle It will be a blight as casinos are in other jurisdictions,45-54,Male,M5V
Favour,Strongly in Favour,F,Tourism Financial benefit to city More diversity of activities,35-44,Male,M5J
Neutral,Neutral or Mixed Feelings,F,depends on location probably not someone who would attend/visit anyway ,55-64,Female,M4C
Favour,Strongly in Favour,F,economic benefits to the city well paying jobs increase in tourism,55-64,Male,m5c
Opposed,Strongly Opposed,F,I do not want a Casino in Toronto It will have a negative impact on our community Would rather see revenue generated from taxes and user fees,45-54,Female,M4M
Opposed,Strongly Opposed,F,"limited benefits, most of which will come from robbing existing rural casino operations. City usually gets taken to the cleaners on these sorts of deals, rarely holds developers to theiroriginal agreements, and allows detrimental changes under threats from developers to 'walk'. Casino is being held out as ythe pot of gold by politicians who seem to think services can be provided without having to pay for them, i.e. afraid of realistic property taxes.",,,
Favour,Strongly in Favour,F,Keep other city run programs open Raise money for the municipality to open community centres and sponsor other iniciatives People are going somewhere else to gamble an spend Toronto money there. Keep our money here,25-34,Male,M4E
Favour,Strongly in Favour,F,Revenue for the city Landmark destination in Toronto job creation,25-34,Female,M5R
Favour,Strongly in Favour,F,"provides economic growth, job opportunities  ",65 or older,Female,M4C
Opposed,Strongly Opposed,T,a tax grab from the poor and desperate vulgar attraction that will draw mostly car drivers tacky - leave them for Vegas and Niagara,45-54,Male,M4L
Favour,Strongly in Favour,F,increased employment increased city revenue Making toronto a world class city,55-64,Male,m4k
Favour,Strongly in Favour,F,  ,35-44,Female,m4l
Opposed,Strongly Opposed,F,I do not want my City defined by a Casino I do not accept that it will represent meaningful cash flow to the City The Provincial government should not be in the business of gaming - should regulate but not be a participant,45-54,Male,M4V
Opposed,Strongly Opposed,T,Downtown congestion Toronto infrastructure is already strained Encourages gambling addiction and organized crime,55-64,Female,M4M
Favour,Strongly in Favour,F,tax money for the city keep the gambling money in the city attract more tourists,65 or older,Male,m4m
Opposed,Strongly Opposed,T,Casinos are a regressive tax on the poor A new casino will adversely affect independent businesses in Toronto Casinos produce dead urban areas surrounding the casino.,25-34,Male,M6H
Opposed,Strongly Opposed,T,"Debt will become a greater issue for Toronto residents who somewhat may not be able to manage themselves when entering a casino There are many other ways to bring in revenue to the city and opening a casino does not seem fitting. Why rely on that one development when there could be many more other developments that will help and benefit all citizens of Toronto Socialism is set up to be able to help and give opportunities to citizens, but with the construction of a casino, what kind of opportunities will it offer? Opportunities to be in even further debt. People will only try to play with fate at that point and one way or another, people will come out very disappointed than when they came in.",15-24,Prefer not to disclose,M1S
Favour,Somewhat in Favour,F,Tourism potential Opportunity to develop brownfields/unattractive/outdated areas of the downtown ,25-34,Male,m4m
