Sentiment,Strength,Conditions,Comment,Age,Gender,Postal Code
Favour,Strongly in Favour,F,Economic Development Jobs Arts and Culture,35-44,Female,M5H
Favour,Strongly in Favour,F,There are allready a number of close by casinos If toronto is not selected then another close by municipality will get one ,55-64,Male,m6s
Favour,Strongly in Favour,F,Toronto needs a casino Avoids having to travel to Niagara & Orillia Provides Top Entertainment & Cuisine,65 or older,Male,M4R
Favour,Strongly in Favour,F,provides more jobs could bring the city more revenue could help make city bigger/stronger,25-34,Male,L6S
Favour,Strongly in Favour,F,"Should help tourism Compulsive gamblers will find a way to gamble, no matter where it is ",45-54,Female,M8V
Favour,Somewhat in Favour,F,economic benefits keep us competitive with other cities that have cansinos ,55-64,Female,M6G
Favour,Strongly in Favour,F,Tourism Financial benefit to city More diversity of activities,35-44,Male,M5J
Favour,Strongly in Favour,F,economic benefits to the city well paying jobs increase in tourism,55-64,Male,m5c
Favour,Strongly in Favour,F,Keep other city run programs open Raise money for the municipality to open community centres and sponsor other iniciatives People are going somewhere else to gamble an spend Toronto money there. Keep our money here,25-34,Male,M4E
Favour,Strongly in Favour,F,Revenue for the city Landmark destination in Toronto job creation,25-34,Female,M5R
Favour,Strongly in Favour,F,"provides economic growth, job opportunities  ",65 or older,Female,M4C
Favour,Strongly in Favour,F,increased employment increased city revenue Making toronto a world class city,55-64,Male,m4k
Favour,Strongly in Favour,F,  ,35-44,Female,m4l
Favour,Strongly in Favour,F,tax money for the city keep the gambling money in the city attract more tourists,65 or older,Male,m4m
Favour,Somewhat in Favour,F,Tourism potential Opportunity to develop brownfields/unattractive/outdated areas of the downtown ,25-34,Male,m4m
Favour,Strongly in Favour,F,"Provides new revenue streams for the City, which it needs; Provides new employment opportunities which it also needs; and Adds a new dimension to what City has to offer to its residents and visitors, who currently go to other parts of the province, country to enjoy, why not have it here and reap the benefits?",45-54,Male,m5v
Favour,Somewhat in Favour,F,"Revenue to the city and job creation Additional entertainment option(s) Enough people head to Niagara or Casino Rama already, would keep more money in the city",35-44,Male,M4L
Favour,Somewhat in Favour,F,Revenue for city jobs waterfront development,35-44,Male,M4J
Favour,Strongly in Favour,F,Government Revenue Increased Tourism Jobs,35-44,Male,M9B
Favour,Somewhat in Favour,F,"Opportunity to repurpose Ontario Place, or potentially add value to CNE grounds Economic impact Potentially positive impact on Toronto brand globally",45-54,Male,m4l
Favour,Strongly in Favour,F,Employment Bring alot more tourist revenue downtoiwn to stay for longer than a quick picture at the CN Tower I am strongly in favor of this coming to downtown Toronto,45-54,Female,M4M
Favour,Strongly in Favour,F,new jobs new entertainment options ,45-54,Male,m4l
Favour,Somewhat in Favour,F,Jobs Tourists Why not,35-44,Female,
Favour,Strongly in Favour,F,employment opportunities the management will pay for most of the complex the facility can be frequented by all who want to be entertained etc.  Much better than condos,45-54,Female,m4m
Favour,Strongly in Favour,F,"Build it in Toronto or it will go to Markham or elsewhere, we need the revenue Added tourism draw Jobs",55-64,Male,M4Y
Favour,Strongly in Favour,F,money for the community  ,35-44,Female,M4M
Favour,Somewhat in Favour,F,  ,55-64,Male,m4g
Favour,Strongly in Favour,F,Good jobs in Toronto Improved entertainment options I believe the fears around the rise in crime related to the casino overblown,,Male,
Favour,Strongly in Favour,F,economic develipment city improvement tourism money,25-34,Male,m4m
Favour,Strongly in Favour,F,Economic benefits to the City of Toronto Makes Toronto an exciting world class city Brings long term high calibre entertainment to Toronto,,,
Favour,Strongly in Favour,F,Jobs Revenue ,Prefer not to disclose,Prefer not to disclose,M4J
Favour,Strongly in Favour,F,"If other cities, including world-class cities, can successfully integrate a casino(s) into their environment, then why can't we? Global competition for tourism - as more cities build casinos, we'll continue to fall behind in developing attractions that attract, and retain, tourists. Diversity - a casino(s) should be seen as one piece only of ongoing development aimed at tourism; Toronto doesn't do enough to attract tourism.",55-64,Male,M4J
Favour,Strongly in Favour,F,decrease the city's debt increase funding for healthcare and education across the province increase tourism to the city,35-44,Female,m5e
Favour,Somewhat in Favour,F,Employment and other economic benefits for the region. Attract tourists. ,65 or older,Male,M4K
Favour,Strongly in Favour,F,Will bring tourism and is fun to do as long as in reason  ,55-64,Female,M1E
Favour,Somewhat in Favour,F,"Tourism attraction equivilant to that of other world class tourist desitnations Spin off industries, like restaurants and live shows. Job creation",35-44,Female,M5V
Favour,Strongly in Favour,F,Job Creation Increase in Tourism to Toronto Drive synergies with already great entertainment in Toronto,35-44,Male,M4J
Favour,Strongly in Favour,F,Good for the local economy--financial benefit Good for the local economy--jobs now and long-term Good for the local economy--build strength around the site and critical mass,45-54,Male,L4A
Favour,Somewhat in Favour,F,Revenue for the city More appeal for tourists Making unused space fun and beautiful,25-34,Female,M4C
Favour,Strongly in Favour,F,  ,Prefer not to disclose,Prefer not to disclose,M3M
Favour,Strongly in Favour,F,"people travel outside of Toronto now to play - lost revenue I am a responsible adult, like to play slots but travelling out of the city means I rarely do there are already charity casinos etc. the city should have it's own",45-54,Female,m4y
Favour,Somewhat in Favour,F,Provide jobs A big city should have a casino for tourism Source of revenue for the city,45-54,Female,M4M
Favour,Strongly in Favour,F,create employment economic benefit to local businesses revitalize downtown Toronto,45-54,Female,M5G
Favour,Strongly in Favour,F,new attraction waterfront development opportunity I would go,35-44,Female,m4m
Favour,Strongly in Favour,F,"casinos and all they entail - entertainment, tourists, conventions, jobs - are all good for Toronto people always have and will gamble, and it's legal in Ontario, so Toronto should benefit rather than elsewhere Toronto is an eclectic mix of cultures, values, interests - casinos are just one more that belong in the mix",65 or older,Male,M4J
Favour,Strongly in Favour,F,Further development of tourist attractions Brings needed tax income Easier access to Ontario Casinos for Toronto residents,25-34,Male,m4j
Favour,Somewhat in Favour,F,new tourist attraction jobs new entertainment option,55-64,Male,
Favour,Strongly in Favour,F,section 37 money for public transportation city of toronto profits for Gardiner repair/replacement/tunnel ,55-64,Male,m5z
Favour,Strongly in Favour,F,"Many people gamble, and do so at Niagara, or Rama. If they gamble instead in Toronto, then Toronto would gain some benefit instead of the profits going to another locale. People worry about bringing casinos to Toronto. We already have slots at Woodbine, Bingo, lotteries, the internet, and off track betting. Banning a full fledged casino is closing the barn door after all the horses have left. More casinos in Southern Ontario increases the competition and that usually works in the favour of the consumer.",65 or older,Male,M2R
Favour,Somewhat in Favour,F,Believe people have the right to choose Have concerns around addiction issues ,45-54,Male,M4A
Favour,Strongly in Favour,F,Economy economy economy,35-44,Female,M5V
Favour,Somewhat in Favour,F,"ICasinos, albeit diststeful, are here. If they don't build it in Toronto, it will be in Pickering or Mississauga. Why should we not get the financial benefit?  ",45-54,Male,m4m
Favour,Strongly in Favour,F,I enjoy going to a casino may bring some tourist dollars to toronto helps toronto become more of a world class city,45-54,Male,m4m
Favour,Strongly in Favour,F,Financial revenues for the city - benefit to many different areas - Toronto needs outside money to succeed in the global Job creation - pre construction and post construction Tourism/visitor benefits - we need a bigger convention centre to accomodate larger conventions which we are unable to host at the moment.,65 or older,Female,M4K
