Sentiment,Strength,Conditions,Comment,Age,Gender,Postal Code
Neutral,Neutral or Mixed Feelings,F,"Like the employment opportunities it will bring Concerned about it being tacky, or an eye-sore in the city ",25-34,Female,M6N
Neutral,Neutral or Mixed Feelings,F,depends on location probably not someone who would attend/visit anyway ,55-64,Female,M4C
Neutral,Neutral or Mixed Feelings,F,Problem gambling and the crime that is associated with it concerns me The entertainment and food that come along with  a casino can only be a good thing ,,,
Neutral,Neutral or Mixed Feelings,F,"I think there are good and bad aspects of having a casino, but I think they balance out. I don't see myself going to the casino. I think the casino would create jobs.",35-44,Male,M4J
Neutral,Neutral or Mixed Feelings,F,Good revenue  ,Prefer not to disclose,Prefer not to disclose,
Neutral,Neutral or Mixed Feelings,F,"depends where - if at the Ontario Place grounds, seems reasonable, should not be located in a residential area if at Front and Blue Jays Way, seems foolish, already too much traffic congestion ",35-44,Female,m5v
Neutral,Neutral or Mixed Feelings,F,"I don't know enough about the project to have a strong opinion. I'm concerned about the positive impact on the city - tourism is good, but how much revenue will it actually generate? I'm concerned about the negative impact on the city - we already have a parking problem and casinos need a lot of space we don't have.",25-34,Female,m4k
Neutral,Neutral or Mixed Feelings,F,"Personally, I think the public health costs are not worth it. As a business owner, a casino has the potential to bring in revenue for my business ",35-44,Male,M4m
Neutral,Neutral or Mixed Feelings,F,Encourages an addiction to gambling Possible negative effects on low-income Torontonians Placement - traffic congestion,45-54,Female,M4K
Neutral,Neutral or Mixed Feelings,F,Gambling - not being the best form of development! Economic benefits for Toronto via taxes and hosting fees Communities most affected by problem gambling - immigrants and lower income,25-34,Female,M6R
Neutral,Neutral or Mixed Feelings,F,To let the City know that I am concerned about Gambling Addiction To let the City know that I am for the Casino but only if it's not in a residential area To let the City know that I am concerned about all the hands that will be coming out wanting the revenue and for them to divi up the money evenly.,45-54,Female,M5A
Neutral,Neutral or Mixed Feelings,F,"brings revenue to the city also brings social problems, and can suck economic activity in the vicinity of the project. If integrated well with its enviroment, I feel that i could support it.",15-24,Male,
