Variable,Word,Count
Opposed,gambling,6204
Opposed,casino,5341
Opposed,city,4848
Opposed,casinos,3883
Opposed,toronto,3555
Opposed,people,2882
Opposed,social,2491
Opposed,crime,2353
Opposed,money,2278
Opposed,addiction,1876
Opposed,traffic,1629
Opposed,downtown,1542
Opposed,problems,1498
Opposed,already,1364
Opposed,increase,1275
Opposed,negative,1183
Opposed,revenue,1178
Opposed,need,1090
Opposed,problem,1052
Opposed,businesses,975
Opposed,local,951
Opposed,impact,930
Opposed,jobs,902
Opposed,community,893
Opposed,area,890
Opposed,family,880
Opposed,many,874
Opposed,increased,870
Opposed,families,841
Opposed,health,827
Opposed,business,792
Opposed,costs,785
Opposed,want,780
Opposed,poor,767
Opposed,economic,765
Opposed,addictions,745
Opposed,public,722
Opposed,bring,716
Opposed,congestion,681
Opposed,create,673
Opposed,gamblers,632
Opposed,away,631
Opposed,benefit,629
Opposed,entertainment,629
Opposed,enough,626
Opposed,benefits,625
Opposed,better,610
Opposed,like,601
Opposed,make,597
Opposed,issues,595
Opposed,good,586
Opposed,attract,547
Opposed,believe,545
Opposed,image,540
Opposed,much,530
Opposed,think,527
Opposed,financial,517
Opposed,waterfront,505
Opposed,society,453
Opposed,gamble,450
Opposed,support,439
Opposed,infrastructure,436
Opposed,culture,433
Opposed,cost,432
Opposed,parking,428
Opposed,take,424
Opposed,niagara,417
Opposed,cities,411
Opposed,addictive,400
Opposed,surrounding,399
Opposed,just,398
Opposed,life,396
Opposed,afford,391
Opposed,cultural,387
Opposed,space,384
Opposed,wrong,382
Opposed,place,377
Opposed,neighbourhood,371
Opposed,existing,369
Opposed,ontario,366
Opposed,income,362
Opposed,core,359
Opposed,government,358
Opposed,associated,353
Opposed,encourage,346
Opposed,economy,345
Opposed,communities,340
Opposed,criminal,338
Opposed,cause,337
Opposed,woodbine,335
Opposed,addicted,333
Opposed,world,319
Opposed,class,315
Opposed,live,312
Opposed,areas,312
Opposed,small,311
Opposed,activity,310
Opposed,around,306
Opposed,development,304
Opposed,impacts,303
Opposed,residents,303
Opposed,neighbourhoods,300
Opposed,lives,300
Opposed,land,298
Opposed,potential,297
Opposed,long,295
Opposed,doesn,292
Opposed,citizens,290
Opposed,effects,289
Opposed,term,287
Opposed,location,284
Opposed,needs,284
Opposed,concerns,284
Opposed,organized,283
Opposed,tourism,281
Opposed,time,278
Opposed,revenues,277
Opposed,lose,276
Opposed,become,274
Opposed,well,266
Opposed,large,264
Opposed,creates,264
Opposed,destroy,263
Opposed,promote,263
Opposed,even,262
Opposed,prostitution,260
Opposed,lead,259
Opposed,vegas,258
Opposed,used,256
Opposed,high,254
Opposed,encourages,254
Opposed,falls,253
Opposed,tourists,252
Opposed,vulnerable,250
Opposed,effect,248
Opposed,activities,248
Opposed,ways,245
Opposed,attracts,240
Opposed,services,230
Opposed,addicts,230
Opposed,healthy,229
Opposed,rather,229
Opposed,restaurants,228
Opposed,positive,227
Opposed,generate,227
Opposed,especially,226
Opposed,poverty,225
Opposed,harm,225
Opposed,brings,223
Opposed,close,223
Opposed,ruin,222
Opposed,tourist,222
Opposed,kind,222
Opposed,least,220
Opposed,mental,219
Opposed,come,219
Opposed,another,218
Opposed,type,216
Opposed,building,213
Opposed,real,213
Opposed,related,212
Opposed,spend,211
Opposed,individuals,210
Opposed,value,210
Opposed,feel,210
Opposed,transit,205
Opposed,without,205
Opposed,arts,204
Opposed,raise,202
Opposed,great,201
Opposed,outweigh,199
Opposed,easy,198
Opposed,quality,197
Opposed,loss,197
Opposed,something,196
Opposed,access,194
Opposed,industry,192
Opposed,takes,192
Opposed,affect,192
Opposed,urban,191
Opposed,rate,191
Opposed,nothing,190
Opposed,gaming,189
Opposed,waste,188
Opposed,rama,188
Opposed,likely,188
Opposed,risk,188
Opposed,less,187
Opposed,dollars,186
Opposed,help,186
Opposed,drugs,185
Opposed,taxes,184
Opposed,contribute,184
Opposed,venues,181
Opposed,opposed,180
Opposed,going,178
Opposed,paying,176
Opposed,idea,174
Opposed,windsor,173
Opposed,profit,172
Opposed,debt,171
Opposed,provide,171
Opposed,little,171
Opposed,behaviour,171
Opposed,province,171
Opposed,located,170
Opposed,also,169
Opposed,profits,168
Opposed,built,167
Opposed,look,166
Opposed,work,165
Opposed,safety,163
Opposed,children,163
Opposed,crimes,162
Opposed,making,161
Opposed,spent,161
Opposed,property,159
Opposed,alcohol,159
Opposed,build,159
Opposed,within,157
Opposed,things,156
Opposed,values,156
Opposed,increases,156
Opposed,places,156
Opposed,near,156
Opposed,draw,155
Opposed,taking,154
Opposed,created,153
Opposed,damage,151
Opposed,residential,151
Opposed,lack,151
Opposed,short,151
Opposed,negatively,150
Opposed,seen,150
Opposed,makes,149
Opposed,huge,148
Opposed,instead,148
Opposed,really,146
