Word,Count,Sentiment
All,city,7481
All,casino,6722
All,gambling,6541
All,toronto,5118
All,casinos,4190
All,people,3283
All,money,2945
All,jobs,2679
All,revenue,2614
All,social,2610
All,crime,2427
All,addiction,1931
All,downtown,1799
All,traffic,1710
All,increase,1632
All,problems,1571
All,already,1495
All,tourism,1321
All,need,1306
All,entertainment,1290
All,bring,1247
All,negative,1243
All,increased,1147
All,good,1142
All,problem,1108
All,local,1105
All,economic,1064
All,businesses,1057
All,area,1055
All,community,1032
All,many,1023
All,create,1008
All,impact,1002
All,business,946
All,want,904
All,family,900
All,health,857
All,families,848
All,benefits,840
All,like,819
All,costs,817
All,public,790
All,poor,785
All,benefit,765
All,addictions,764
All,make,730
All,congestion,709
All,better,701
All,economy,698
All,attract,690
All,think,681
All,enough,676
All,woodbine,675
All,gamblers,674
All,away,669
All,much,657
All,issues,643
All,believe,611
All,world,608
All,niagara,603
All,gamble,594
All,income,587
All,image,585
All,waterfront,575
All,class,572
All,infrastructure,568
All,financial,566
All,tourist,549
All,cities,544
All,support,540
All,place,530
All,existing,513
All,tourists,506
All,generate,490
All,needs,490
All,take,475
All,just,469
All,ontario,463
All,society,461
All,provide,460
All,parking,459
All,location,454
All,cost,453
All,revenues,447
All,culture,447
All,space,443
All,surrounding,443
All,great,442
All,core,435
All,development,434
All,creates,433
All,government,425
All,employment,424
All,life,422
All,cultural,410
All,addictive,406
All,residents,401
All,afford,399
All,neighbourhood,399
All,help,390
