Word,Count,Sentiment
Neutral,casino,254
Neutral,city,168
Neutral,gambling,121
Neutral,toronto,98
Neutral,revenue,98
Neutral,people,79
Neutral,downtown,71
Neutral,casinos,68
Neutral,location,67
Neutral,good,66
Neutral,money,64
Neutral,social,57
Neutral,jobs,54
Neutral,woodbine,51
Neutral,traffic,46
Neutral,want,45
Neutral,crime,44
Neutral,like,41
Neutral,addiction,38
Neutral,bring,38
Neutral,think,37
Neutral,tourism,36
Neutral,problems,34
Neutral,already,33
Neutral,potential,32
Neutral,economic,31
Neutral,concerned,30
Neutral,area,29
Neutral,benefits,29
Neutral,depends,27
Neutral,enough,27
Neutral,increase,26
Neutral,need,26
Neutral,problem,26
Neutral,negative,24
Neutral,support,24
Neutral,sure,24
Neutral,entertainment,24
Neutral,gamble,23
Neutral,create,22
Neutral,impact,22
Neutral,make,21
Neutral,much,21
Neutral,place,20
Neutral,issues,20
Neutral,idea,19
Neutral,benefit,19
Neutral,located,19
Neutral,core,18
Neutral,positive,18
Neutral,many,18
Neutral,needs,18
Neutral,well,18
Neutral,ontario,17
Neutral,believe,17
Neutral,also,17
Neutral,just,16
Neutral,costs,16
Neutral,really,16
Neutral,know,16
Neutral,revenues,15
Neutral,congestion,15
Neutral,going,15
Neutral,worried,15
Neutral,infrastructure,15
Neutral,addictions,15
Neutral,feel,15
Neutral,built,15
Neutral,increased,15
Neutral,attract,14
Neutral,local,14
Neutral,care,14
Neutral,health,14
Neutral,might,14
Neutral,generate,14
Neutral,business,14
Neutral,government,14
Neutral,right,13
Neutral,neighbourhood,13
Neutral,transit,13
Neutral,impacts,13
Neutral,racetrack,13
Neutral,cause,13
Neutral,surrounding,12
Neutral,waterfront,12
Neutral,best,12
Neutral,profits,12
Neutral,mixed,12
Neutral,opportunities,12
Neutral,income,12
Neutral,affect,11
Neutral,better,11
Neutral,cost,11
Neutral,favour,11
Neutral,economy,11
Neutral,attraction,11
Neutral,parking,11
Neutral,cities,11
Neutral,gamblers,11
Neutral,community,11
