Word,Count,Sentiment
Opposed,gambling,6204
Opposed,casino,5341
Opposed,city,4848
Opposed,casinos,3883
Opposed,toronto,3555
Opposed,people,2882
Opposed,social,2491
Opposed,crime,2353
Opposed,money,2278
Opposed,addiction,1876
Opposed,traffic,1629
Opposed,downtown,1542
Opposed,problems,1498
Opposed,already,1364
Opposed,increase,1275
Opposed,negative,1183
Opposed,revenue,1178
Opposed,need,1090
Opposed,problem,1052
Opposed,businesses,975
Opposed,local,951
Opposed,impact,930
Opposed,jobs,902
Opposed,community,893
Opposed,area,890
Opposed,family,880
Opposed,many,874
Opposed,increased,870
Opposed,families,841
Opposed,health,827
Opposed,business,792
Opposed,costs,785
Opposed,want,780
Opposed,poor,767
Opposed,economic,765
Opposed,addictions,745
Opposed,public,722
Opposed,bring,716
Opposed,congestion,681
Opposed,create,673
Opposed,gamblers,632
Opposed,away,631
Opposed,benefit,629
Opposed,entertainment,629
Opposed,enough,626
Opposed,benefits,625
Opposed,better,610
Opposed,like,601
Opposed,make,597
Opposed,issues,595
Opposed,good,586
Opposed,attract,547
Opposed,believe,545
Opposed,image,540
Opposed,much,530
Opposed,think,527
Opposed,financial,517
Opposed,waterfront,505
Opposed,society,453
Opposed,gamble,450
Opposed,support,439
Opposed,infrastructure,436
Opposed,culture,433
Opposed,cost,432
Opposed,parking,428
Opposed,take,424
Opposed,niagara,417
Opposed,cities,411
Opposed,addictive,400
Opposed,surrounding,399
Opposed,just,398
Opposed,life,396
Opposed,afford,391
Opposed,cultural,387
Opposed,space,384
Opposed,wrong,382
Opposed,place,377
Opposed,neighbourhood,371
Opposed,existing,369
Opposed,ontario,366
Opposed,income,362
Opposed,core,359
Opposed,government,358
Opposed,associated,353
Opposed,encourage,346
Opposed,economy,345
Opposed,communities,340
Opposed,criminal,338
Opposed,cause,337
Opposed,woodbine,335
Opposed,addicted,333
Opposed,world,319
Opposed,class,315
Opposed,live,312
Opposed,areas,312
Opposed,small,311
Opposed,activity,310
Opposed,around,306
Opposed,development,304
Opposed,impacts,303
